accession	accession_version	strain	date	region	country	division	location	length	host	host_genus	host_type	is_lab_host	date_released	date_updated	sra_accessions	authors	full_authors	institution	url	coverage	cdsCoverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	p48_coverage	NTPase_coverage	p22_coverage	VPg_coverage	3CLpro_coverage	RdRp_coverage	VP1_coverage	VP2_coverage	ORF2_type	ORF1_type	VP1_nextclade	VP1_group	VP1_type	VP1_variant	RdRp_nextclade	RdRp_group	RdRp_type	RdRp_variant
OR065043	OR065043.1	stool	2017-04-XX	"North America"	USA	California		7732	"Homo sapiens"	Homo	human		2023-06-05	2023-06-05	SRR24745610	"Yang et al."	Yang,Z.,Wolfe,J.	"US Food and Drug Administration, Molecular Virology Team/Devision of Molecular Biology"	https://www.ncbi.nlm.nih.gov/nuccore/OR065043	1	3CLpro:1,NTPase:0.9836065573770492,ORF1:0,RdRp:1,VP1:0.911275415896488,VP2:0.8475836431226765,VPg:1,p22:0.8983050847457628,p48:0.0572289156626506	0	3241	0						ORF1:34-1700,p48:34-332,NTPase:65-70,p22:147-155,VP1:298-310,VP1:332-357,VP1:387-389,VP1:441-446,VP2:140-146,VP2:187-191,VP2:247-269	0.057	0.984	0.898	1.0	1.0	1.0	0.911	0.848			GI.7	GI	GI.7		GI.P7	GI.P	GI.P7	
OR065073	OR065073.1	GII/Hu/US/2011/GII.2[Puntypeable]/NIH10.1	2011-07-XX	"North America"	USA			7553	"Homo sapiens"	Homo	human		2023-10-06	2023-10-06		"Chaimongkol et al."	"Chaimongkol,N.,Dabilla,N.,Tohma,K.,Matsushima,Y.,Behrle Yardley,A.,Levenson,E.A.,Johnson,J.A.,Ahorrio,C.,Oler,A.J.,Kim,D.Y.,Souza,M.,Sosnovtsev,S.V.,Parra,G.I.,Green,K.Y."	"NIAID, LID"	https://www.ncbi.nlm.nih.gov/nuccore/OR065073	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9941176470588236,RdRp:1,VP1:0.9852125693160814,VP2:1,VPg:1,p22:1,p48:0.9698795180722891	0	2347	0						ORF1:23-28,p48:23-28,VP1:337-342	0.97	1.0	1.0	1.0	1.0	1.0	0.985	1.0			GII.2	GII	GII.2		GII.P40	GII.P	GII.P40	
OR065090	OR065090.1	GII/Hu/US/2016/GII.4Sydney[P31]/NIH29.10	2016-01-XX	"North America"	USA			7559	"Homo sapiens"	Homo	human		2023-10-06	2023-10-06		"Chaimongkol et al."	"Chaimongkol,N.,Dabilla,N.,Tohma,K.,Matsushima,Y.,Behrle Yardley,A.,Levenson,E.A.,Johnson,J.A.,Ahorrio,C.,Oler,A.J.,Kim,D.Y.,Souza,M.,Sosnovtsev,S.V.,Parra,G.I.,Green,K.Y."	"NIAID, LID"	https://www.ncbi.nlm.nih.gov/nuccore/OR065090	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1279	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR069404	OR069404.1	GII/Hu/US/2015/GII.3[P21]/NIH38.3	2015-04-XX	"North America"	USA			7543	"Homo sapiens"	Homo	human		2023-10-11	2023-10-11		"Chaimongkol et al."	"Chaimongkol,N.,Dabilla,N.,Tohma,K.,Matsushima,Y.,Behrle Yardley,A.,Levenson,E.A.,Johnson,J.A.,Ahorrio,C.,Oler,A.J.,Kim,D.Y.,Souza,M.,Sosnovtsev,S.V.,Parra,G.I.,Green,K.Y."	"NIAID, LID"	https://www.ncbi.nlm.nih.gov/nuccore/OR069404	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:0.8921933085501859,VPg:1,p22:0.9717514124293786,p48:1	0	1970	0						ORF1:857-861,p22:159-163,VP2:138-153,VP2:169-180	1.0	1.0	0.972	1.0	1.0	1.0	1.0	0.892			GII.3	GII	GII.3		GII.P21	GII.P	GII.P21	
OR069405	OR069405.1	GII/Hu/US/2015/GII.6[P7]/NIH53.1	2015-12-XX	"North America"	USA			7546	"Homo sapiens"	Homo	human		2023-10-06	2023-10-06		"Chaimongkol et al."	"Chaimongkol,N.,Dabilla,N.,Tohma,K.,Matsushima,Y.,Behrle Yardley,A.,Levenson,E.A.,Johnson,J.A.,Ahorrio,C.,Oler,A.J.,Kim,D.Y.,Souza,M.,Sosnovtsev,S.V.,Parra,G.I.,Green,K.Y."	"NIAID, LID"	https://www.ncbi.nlm.nih.gov/nuccore/OR069405	0.9985463195453945	3CLpro:1,NTPase:1,ORF1:0.9858823529411764,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:0.927710843373494	0	2463	0						ORF1:53-67,ORF1:82-90,p48:53-67,p48:82-90	0.928	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.6	GII	GII.6		GII.P7	GII.P	GII.P7	
OR069406	OR069406.1	GII/Hu/US/2019/GII.14[P7]/NIH129.1	2019-05-XX	"North America"	USA			7525	"Homo sapiens"	Homo	human		2023-10-06	2023-10-06		"Chaimongkol et al."	"Chaimongkol,N.,Dabilla,N.,Tohma,K.,Matsushima,Y.,Behrle Yardley,A.,Levenson,E.A.,Johnson,J.A.,Ahorrio,C.,Oler,A.J.,Kim,D.Y.,Souza,M.,Sosnovtsev,S.V.,Parra,G.I.,Green,K.Y."	"NIAID, LID"	https://www.ncbi.nlm.nih.gov/nuccore/OR069406	0.998678472313995	3CLpro:1,NTPase:1,ORF1:0.98,RdRp:1,VP1:0.944547134935305,VP2:1,VPg:1,p22:0.9209039548022598,p48:0.9397590361445783	0	2394	0						ORF1:48-67,ORF1:840-846,ORF1:859-865,p48:48-67,p22:142-148,p22:161-167,VP1:289-311,VP1:393-398	0.94	1.0	0.921	1.0	1.0	1.0	0.945	1.0			GII.14	GII	GII.14		GII.P7	GII.P	GII.P7	
OR084254	OR084254.1	2017-310	2017-06-XX	Asia	China			7731	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084254	0.9760803488833091	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.014705882352941176,RdRp:0.9823529411764705,VP1:0.955637707948244,VP2:0.483271375464684,VPg:1,p22:0.6214689265536724,p48:0.1355421686746988	0	3203	0						ORF1:15-54,ORF1:68-77,ORF1:113-240,ORF1:250-393,ORF1:404-780,ORF1:791-835,ORF1:839-1700,p48:15-54,p48:68-77,p48:113-240,p48:250-332,NTPase:65-70,p22:84-111,p22:138-158,RdRp:6-13,VP1:9-14,VP1:383-400,VP2:132-143,VP2:166-176,VP2:212-269	0.136	0.984	0.621	1.0	1.0	0.982	0.956	0.483			GI.3	GI	GI.3		GI.P13	GI.P	GI.P13	
OR084255	OR084255.1	2017-170	2017-04-XX	Asia	China			7708	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084255	0.9899563895863618	3CLpro:1,NTPase:0.9836065573770492,ORF1:0.027058823529411764,RdRp:0.9823529411764705,VP1:0.9426987060998152,VP2:0.7657992565055762,VPg:1,p22:0.6214689265536724,p48:0.1355421686746988	0	3233	0						ORF1:15-54,ORF1:68-77,ORF1:113-240,ORF1:250-393,ORF1:404-780,ORF1:791-835,ORF1:839-1700,p48:15-54,p48:68-77,p48:113-240,p48:250-332,NTPase:65-70,p22:84-111,p22:138-158,RdRp:6-13,VP1:9-14,VP1:383-400,VP1:446-452,VP2:137-144,VP2:189-222	0.136	0.984	0.621	1.0	1.0	0.982	0.943	0.766			GI.3	GI	GI.3		GI.P13	GI.P	GI.P13	
OR084256	OR084256.1	2018-827	2018-04-XX	Asia	China			7502	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084256	0.9944495837187789	3CLpro:1,NTPase:1,ORF1:1,RdRp:1,VP1:1,VP2:0.929368029739777,VPg:1,p22:1,p48:1	0	967	0						VP2:139-155	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.929			GII.2	GII	GII.2		GII.P16	GII.P	GII.P16	
OR084257	OR084257.1	2018-875	2018-04-XX	Asia	China			7516	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084257	0.9932602088013743	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1255	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084258	OR084258.1	2018-1000	2018-06-XX	Asia	China			7516	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084258	0.9932602088013743	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1247	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084259	OR084259.1	2018-877	2018-04-XX	Asia	China			7516	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084259	0.9932602088013743	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1256	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084260	OR084260.1	2017-758	2017-10-XX	Asia	China			7513	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084260	0.9928637504955728	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1250	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084261	OR084261.1	2017-732	2017-10-XX	Asia	China			7516	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084261	0.9932602088013743	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1245	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084262	OR084262.1	2017-44	2017-02-XX	Asia	China			7517	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084262	0.9933923615699749	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1243	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084263	OR084263.1	2017-756	2017-10-XX	Asia	China			7516	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084263	0.9932602088013743	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1245	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR084264	OR084264.1	2017-759	2017-10-XX	Asia	China			7517	"Homo sapiens"	Homo	human		2023-06-10	2023-06-10		"Sun et al."	Sun,Z.	"4.tYantai Center for Disease Control and Prevention, Microbiological laboratory"	https://www.ncbi.nlm.nih.gov/nuccore/OR084264	0.9933923615699749	3CLpro:1,NTPase:1,ORF1:0.9970588235294118,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:1	0	1247	0						ORF1:857-860,p22:159-162	1.0	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	Sydney_2012*	GII.P31	GII.P	GII.P31	
OR262325	OR262325.1	"Hu/GII.4 San Francisco[P31]/SanFrancisco0131/2017/USA"	2017-07-30	"North America"	USA			7567	"Homo sapiens"	Homo	human		2023-12-11	2023-12-11		"Chhabra et al."	Chhabra,P.,Tully,D.C.,Mans,J.,Niendorf,S.,Barclay,L.,Cannon,J.L.,Montmayeur,A.M.,Pan,C.Y.,Page,N.,Williams,R.,Tutill,H.,Roy,S.,Celma,C.,Beard,S.,Mallory,M.L.,Manouana,G.P.,Velavan,T.P.,Adegnika,A.A.,Kremsner,P.G.,Lindesmith,L.C.,Hue,S.,Baric,R.S.,Breuer,J.,Vinje,J.,Pan,C.-Y.,Huynh,T.,Xu,R.	"Centers for Disease Control and Prevention, Viral Gastroenteritis Branch"	https://www.ncbi.nlm.nih.gov/nuccore/OR262325	0.999735694462799	3CLpro:1,NTPase:1,ORF1:0.9964705882352941,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9661016949152542,p48:1	0	1283	0						ORF1:857-860,p22:159-162	1.0	1.0	0.966	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
OR262326	OR262326.1	"Hu/GII.4 San Francisco[P31]/WT-NORO-1807/2021/UK"	2021-07-XX	Europe	"United Kingdom"			7541	"Homo sapiens"	Homo	human		2023-12-11	2023-12-11		"Chhabra et al."	Chhabra,P.,Tully,D.C.,Mans,J.,Niendorf,S.,Barclay,L.,Cannon,J.L.,Montmayeur,A.M.,Pan,C.Y.,Page,N.,Williams,R.,Tutill,H.,Roy,S.,Celma,C.,Beard,S.,Mallory,M.L.,Manouana,G.P.,Velavan,T.P.,Adegnika,A.A.,Kremsner,P.G.,Lindesmith,L.C.,Hue,S.,Baric,R.S.,Breuer,J.,Vinje,J.,Tutill,H.J.,Williams,R.J.	"Centers for Disease Control and Prevention, Viral Gastroenteritis Branch"	https://www.ncbi.nlm.nih.gov/nuccore/OR262326	0.996299722479186	3CLpro:1,NTPase:1,ORF1:0.9935294117647059,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:0.9819277108433735	0	1326	0						ORF1:857-860,p22:159-162	0.982	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
OR262327	OR262327.1	"Hu/GII.4 San Francisco[P31]/WT-NORO-1808/2021/UK"	2021-07-XX	Europe	"United Kingdom"			7546	"Homo sapiens"	Homo	human		2023-12-11	2023-12-11		"Chhabra et al."	Chhabra,P.,Tully,D.C.,Mans,J.,Niendorf,S.,Barclay,L.,Cannon,J.L.,Montmayeur,A.M.,Pan,C.Y.,Page,N.,Williams,R.,Tutill,H.,Roy,S.,Celma,C.,Beard,S.,Mallory,M.L.,Manouana,G.P.,Velavan,T.P.,Adegnika,A.A.,Kremsner,P.G.,Lindesmith,L.C.,Hue,S.,Baric,R.S.,Breuer,J.,Vinje,J.,Tutill,H.J.,Williams,R.J.	"Centers for Disease Control and Prevention, Viral Gastroenteritis Branch"	https://www.ncbi.nlm.nih.gov/nuccore/OR262327	0.9969604863221885	3CLpro:1,NTPase:1,ORF1:0.9947058823529412,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9717514124293786,p48:0.9879518072289156	0	1326	0						ORF1:857-860,p22:159-162	0.988	1.0	0.972	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
OR262328	OR262328.1	"Hu/GII.4 San Francisco[P31]/WT-NORO-1954/2019/UK"	2019-11-21	Europe	"United Kingdom"			7551	"Homo sapiens"	Homo	human		2023-12-11	2023-12-11		"Chhabra et al."	Chhabra,P.,Tully,D.C.,Mans,J.,Niendorf,S.,Barclay,L.,Cannon,J.L.,Montmayeur,A.M.,Pan,C.Y.,Page,N.,Williams,R.,Tutill,H.,Roy,S.,Celma,C.,Beard,S.,Mallory,M.L.,Manouana,G.P.,Velavan,T.P.,Adegnika,A.A.,Kremsner,P.G.,Lindesmith,L.C.,Hue,S.,Baric,R.S.,Breuer,J.,Vinje,J.,Tutill,H.J.,Williams,R.J.	"Centers for Disease Control and Prevention, Viral Gastroenteritis Branch"	https://www.ncbi.nlm.nih.gov/nuccore/OR262328	0.997621250165191	3CLpro:1,NTPase:1,ORF1:0.9947058823529412,RdRp:1,VP1:1,VP2:1,VPg:1,p22:0.9661016949152542,p48:0.9909638554216867	0	1294	0						ORF1:857-860,p22:159-162	0.991	1.0	0.966	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
OR262329	OR262329.1	"Hu/GII.4 San Francisco[P31]/WT-NORO-2177/2021/UK"	2021-11-02	Europe	"United Kingdom"			7500	"Homo sapiens"	Homo	human		2023-12-11	2023-12-11		"Chhabra et al."	Chhabra,P.,Tully,D.C.,Mans,J.,Niendorf,S.,Barclay,L.,Cannon,J.L.,Montmayeur,A.M.,Pan,C.Y.,Page,N.,Williams,R.,Tutill,H.,Roy,S.,Celma,C.,Beard,S.,Mallory,M.L.,Manouana,G.P.,Velavan,T.P.,Adegnika,A.A.,Kremsner,P.G.,Lindesmith,L.C.,Hue,S.,Baric,R.S.,Breuer,J.,Vinje,J.,Tutill,H.J.,Williams,R.J.	"Centers for Disease Control and Prevention, Viral Gastroenteritis Branch"	https://www.ncbi.nlm.nih.gov/nuccore/OR262329	0.9907493061979649	3CLpro:1,NTPase:1,ORF1:0.9952941176470588,RdRp:1,VP1:1,VP2:1,VPg:1,p22:1,p48:0.9759036144578314	0	1305	0							0.976	1.0	1.0	1.0	1.0	1.0	1.0	1.0			GII.4	GII	GII.4	SanFrancisco	GII.P31	GII.P	GII.P31	
OR267350	OR267350.1	NoV/Human-wt/CHN/1601Y013/2016/GI.Pb-GI.6	2016-01-XX	Asia	China			7320	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR267350	0.9450244482621911	3CLpro:1,NTPase:1,ORF1:0.9423529411764706,RdRp:1,VP1:0.9186691312384473,VP2:0.06691449814126393,VPg:1,p22:0.7966101694915254,p48:0.8132530120481928	0	3083	0						ORF1:26-71,ORF1:241-248,ORF1:833-853,p48:26-71,p48:241-248,p22:135-155,VP1:307-314,VP1:332-352,VP1:383-395,VP2:140-269	0.813	1.0	0.797	1.0	1.0	1.0	0.919	0.067			GI.6	GI	GI.6		GI.P11	GI.P	GI.P11	
OR267444	OR267444.1	NoV/Human-wt/CHN/1609Y001/2016/GI.Pb-GI.6	2016-03-XX	Asia	China			7320	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR267444	0.9450244482621911	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.9323529411764706,RdRp:1,VP1:0.9094269870609981,VP2:0.06691449814126393,VPg:1,p22:0.7966101694915254,p48:0.7831325301204819	0	3094	0						ORF1:30-73,ORF1:241-248,ORF1:400-405,ORF1:833-853,p48:30-73,p48:241-248,NTPase:68-73,p22:135-155,VP1:301-311,VP1:330-352,VP1:383-395,VP2:140-269	0.783	0.981	0.797	1.0	1.0	1.0	0.909	0.067							GI.P11	GI.P	GI.P11	
OR267445	OR267445.1	NoV/Human-wt/CHN/1611Y001/2016/GI.Pb-GI.6	2016-03-03	Asia	China			7320	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR267445	0.9450244482621911	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.9323529411764706,RdRp:1,VP1:0.9149722735674677,VP2:0.06691449814126393,VPg:1,p22:0.7966101694915254,p48:0.7831325301204819	0	3092	0						ORF1:30-73,ORF1:241-248,ORF1:400-405,ORF1:833-853,p48:30-73,p48:241-248,NTPase:68-73,p22:135-155,VP1:307-314,VP1:330-352,VP1:383-395,VP2:140-269	0.783	0.981	0.797	1.0	1.0	1.0	0.915	0.067							GI.P11	GI.P	GI.P11	
OR267446	OR267446.1	NoV/Human-wt/CHN/1915Y170/2019/GI.Pb-GI.6	2019-11-08	Asia	China			7320	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR267446	0.9440993788819876	3CLpro:1,NTPase:1,ORF1:0.9335294117647058,RdRp:1,VP1:0.9186691312384473,VP2:0.5427509293680297,VPg:1,p22:0.7966101694915254,p48:0.7680722891566265	0	3092	0						ORF1:27-73,ORF1:241-248,ORF1:833-853,p48:27-73,p48:241-248,p22:135-155,VP1:307-314,VP1:332-352,VP1:383-395	0.768	1.0	0.797	1.0	1.0	1.0	0.919	0.543			GI.6	GI	GI.6		GI.P11	GI.P	GI.P11	
OR267447	OR267447.1	NoV/Human-wt/CHN/1801Y297/2018/GI.Pb-GI.6	2018-01-XX	Asia	China			7320	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR267447	0.9440993788819876	3CLpro:1,NTPase:1,ORF1:0.9141176470588235,RdRp:1,VP1:0.9186691312384473,VP2:0.5427509293680297,VPg:1,p22:0.7966101694915254,p48:0.6686746987951807	0	3113	0						ORF1:30-70,ORF1:81-122,ORF1:241-248,ORF1:833-853,p48:30-70,p48:81-122,p48:241-248,p22:135-155,VP1:307-314,VP1:332-352,VP1:383-395	0.669	1.0	0.797	1.0	1.0	1.0	0.919	0.543			GI.6	GI	GI.6		GI.P11	GI.P	GI.P11	
OR268205	OR268205.1	NoV/Human-wt/CHN/1906Y028/2019/GI.Pb-GI.6	2019-05-08	Asia	China			7461	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR268205	0.9655081273952689	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.036470588235294116,RdRp:1,VP1:0.9297597042513863,VP2:0.7100371747211895,VPg:1,p22:0.7796610169491526,p48:0.11746987951807229	0	3187	0						ORF1:34-240,ORF1:249-399,ORF1:408-832,ORF1:856-1700,p48:34-240,p48:249-332,NTPase:68-73,p22:135-157,VP1:309-314,VP1:330-346,VP1:383-395,VP2:140-148	0.117	0.981	0.78	1.0	1.0	1.0	0.93	0.71							GI.P11	GI.P	GI.P11	
OR268206	OR268206.1	NoV/Human-wt/CHN/1914Y032/2019/GI.Pb-GI.6	2019-05-16	Asia	China			7461	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR268206	0.9655081273952689	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.03,RdRp:1,VP1:0.9297597042513863,VP2:0.7100371747211895,VPg:1,p22:0.8135593220338984,p48:0.11746987951807229	0	3181	0						ORF1:34-240,ORF1:249-399,ORF1:408-832,ORF1:848-1700,p48:34-240,p48:249-332,NTPase:68-73,p22:135-149,VP1:309-314,VP1:330-346,VP1:383-395,VP2:140-148	0.117	0.981	0.814	1.0	1.0	1.0	0.93	0.71							GI.P11	GI.P	GI.P11	
OR268207	OR268207.1	NoV/Human-wt/CHN/1914Y034/2019/GI.Pb-GI.6	2019-05-16	Asia	China			7461	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR268207	0.9655081273952689	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.03,RdRp:1,VP1:0.9297597042513863,VP2:0.7100371747211895,VPg:1,p22:0.8135593220338984,p48:0.11746987951807229	0	3180	0						ORF1:34-240,ORF1:249-399,ORF1:408-832,ORF1:848-1700,p48:34-240,p48:249-332,NTPase:68-73,p22:135-149,VP1:309-314,VP1:330-346,VP1:383-395,VP2:140-148	0.117	0.981	0.814	1.0	1.0	1.0	0.93	0.71							GI.P11	GI.P	GI.P11	
OR268208	OR268208.1	NoV/Human-wt/CHN/1915Y121/2019/GI.Pb-GI.6	2019-05-16	Asia	China			7461	"Homo sapiens"	Homo	human		2024-08-01	2024-08-01		"Fu et al."	Fu,J.M.,Gao,Z.Y.,Shen,L.Y.,Tian,Y.,Fan,Y.	"China Medical University, School of Public Health"	https://www.ncbi.nlm.nih.gov/nuccore/OR268208	0.9655081273952689	3CLpro:1,NTPase:0.9808743169398907,ORF1:0.036470588235294116,RdRp:1,VP1:0.9297597042513863,VP2:0.7100371747211895,VPg:1,p22:0.7796610169491526,p48:0.11746987951807229	0	3188	0						ORF1:34-240,ORF1:249-399,ORF1:408-832,ORF1:856-1700,p48:34-240,p48:249-332,NTPase:68-73,p22:135-157,VP1:309-314,VP1:330-346,VP1:383-395,VP2:140-148	0.117	0.981	0.78	1.0	1.0	1.0	0.93	0.71							GI.P11	GI.P	GI.P11	
